, start_pos, target_pos
705,507,177
706,507,29212
707,29210,177
708,29210,29212
709,645,177
710,645,29212
711,29441,177
712,29441,29212
713,713,177
714,713,29212
715,35255,177
716,35255,29212
717,714,177
718,714,29212
719,29374,177
720,29374,29212
721,1,178
722,1,28562
723,418,178
724,418,28562
725,27606,178
726,27606,28562
727,165,178
728,165,28562
729,29472,178
730,29472,28562
731,183,178
732,183,28562
733,28480,178
734,28480,28562
735,189,178
736,189,28562
737,28572,178
738,28572,28562
739,204,178
740,204,28562
741,28500,178
742,28500,28562
743,205,178
744,205,28562
745,28503,178
746,28503,28562
747,1,179
748,1,28359
749,418,179
750,418,28359
751,27606,179
752,27606,28359
753,4,179
754,4,28359
755,169,179
756,169,28359
757,29348,179
758,29348,28359
759,162,179
760,162,28359
761,29327,179
762,29327,28359
763,182,179
764,182,28359
765,28364,179
766,28364,28359
767,401,179
768,401,28359
769,28260,179
770,28260,28359
771,422,179
772,422,28359
773,29331,179
774,29331,28359
775,423,179
776,423,28359
777,34427,179
778,34427,28359
779,424,179
780,424,28359
781,28308,179
782,28308,28359
783,442,179
784,442,28359
785,28348,179
786,28348,28359
787,456,179
788,456,28359
789,28368,179
790,28368,28359
791,1,180
792,1,28360
793,418,180
794,418,28360
795,27606,180
796,27606,28360
797,4,180
798,4,28360
799,169,180
800,169,28360
801,29348,180
802,29348,28360
803,162,180
804,162,28360
805,29327,180
806,29327,28360
807,166,180
808,166,28360
809,29336,180
810,29336,28360
811,182,180
812,182,28360
813,28364,180
814,28364,28360
815,263,180
816,263,28360
817,28307,180
818,28307,28360
819,274,180
820,274,28360
821,29343,180
822,29343,28360
823,337,180
824,337,28360
825,34328,180
826,34328,28360
827,401,180
828,401,28360
829,28260,180
830,28260,28360
831,422,180
832,422,28360
833,29331,180
834,29331,28360
835,423,180
836,423,28360
837,34427,180
838,34427,28360
839,424,180
840,424,28360
841,28308,180
842,28308,28360
843,442,180
844,442,28360
845,28348,180
846,28348,28360
847,443,180
848,443,28360
849,64634,180
850,64634,28360
851,456,180
852,456,28360
853,28368,180
854,28368,28360
855,459,180
856,459,28360
857,29376,180
858,29376,28360
859,478,180
860,478,28360
861,40070,180
862,40070,28360
863,641,180
864,641,28360
865,24012,180
866,24012,28360
867,713,180
868,713,28360
869,35255,180
870,35255,28360
871,714,180
872,714,28360
873,29374,180
874,29374,28360
875,766,180
876,766,28360
877,40265,180
878,40265,28360
879,1,181
880,1,29053
881,418,181
882,418,29053
883,27606,181
884,27606,29053
885,168,181
886,168,29053
887,28465,181
888,28465,29053
889,1,182
890,1,28364
891,418,182
892,418,28364
893,27606,182
894,27606,28364
895,2,182
896,2,28364
897,665,182
898,665,28364
899,29333,182
900,29333,28364
901,4,182
902,4,28364
903,169,182
904,169,28364
905,29348,182
906,29348,28364
907,162,182
908,162,28364
909,29327,182
910,29327,28364
911,166,182
912,166,28364
913,29336,182
914,29336,28364
915,262,182
916,262,28364
917,29332,182
918,29332,28364
919,263,182
920,263,28364
921,28307,182
922,28307,28364
923,274,182
924,274,28364
925,29343,182
926,29343,28364
927,325,182
928,325,28364
929,28377,182
930,28377,28364
931,385,182
932,385,28364
933,29283,182
934,29283,28364
935,401,182
936,401,28364
937,28260,182
938,28260,28364
939,422,182
940,422,28364
941,29331,182
942,29331,28364
943,424,182
944,424,28364
945,28308,182
946,28308,28364
947,442,182
948,442,28364
949,28348,182
950,28348,28364
951,456,182
952,456,28364
953,28368,182
954,28368,28364
955,459,182
956,459,28364
957,29376,182
958,29376,28364
959,620,182
960,620,28364
961,29408,182
962,29408,28364
963,645,182
964,645,28364
965,29441,182
966,29441,28364
967,691,182
968,691,28364
969,28630,182
970,28630,28364
971,714,182
972,714,28364
973,29374,182
974,29374,28364
975,1,183
976,1,28480
977,418,183
978,418,28480
979,27606,183
980,27606,28480
981,163,183
982,163,28480
983,28979,183
984,28979,28480
985,165,183
986,165,28480
987,29472,183
988,29472,28480
989,189,183
990,189,28480
991,28572,183
992,28572,28480
993,204,183
994,204,28480
995,28500,183
996,28500,28480
997,205,183
998,205,28480
999,28503,183
1000,28503,28480
1001,1,184
1002,1,28482
1003,418,184
1004,418,28482
1005,27606,184
1006,27606,28482
1007,163,184
1008,163,28482
1009,28979,184
1010,28979,28482
1011,168,184
1012,168,28482
1013,28465,184
1014,28465,28482
1015,186,184
1016,186,28482
1017,28110,184
1018,28110,28482
1019,211,184
1020,211,28482
1021,29692,184
1022,29692,28482
1023,1,185
1024,1,29639
1025,418,185
1026,418,29639
1027,27606,185
1028,27606,29639
1029,184,185
1030,184,29639
1031,28482,185
1032,28482,29639
1033,1,186
1034,1,28110
1035,418,186
1036,418,28110
1037,27606,186
1038,27606,28110
1039,154,186
1040,154,28110
1041,29714,186
1042,29714,28110
1043,184,186
1044,184,28110
1045,28482,186
1046,28482,28110
1047,1,187
1048,1,65424
1049,418,187
1050,418,65424
1051,27606,187
1052,27606,65424
1053,1,188
1054,1,65425
1055,418,188
1056,418,65425
1057,27606,188
1058,27606,65425
1059,1,189
1060,1,28572
1061,418,189
1062,418,28572
1063,27606,189
1064,27606,28572
1065,165,189
1066,165,28572
1067,29472,189
1068,29472,28572
1069,183,189
1070,183,28572
1071,28480,189
1072,28480,28572
1073,204,189
1074,204,28572
1075,28500,189
1076,28500,28572
1077,1,190
1078,1,29646
1079,418,190
1080,418,29646
1081,27606,190
1082,27606,29646
1083,184,190
1084,184,29646
1085,28482,190
1086,28482,29646
1087,1,191
1088,1,28490
1089,418,191
1090,418,28490
1091,27606,191
1092,27606,28490
1093,163,191
1094,163,28490
1095,28979,191
1096,28979,28490
1097,165,191
1098,165,28490
1099,29472,191
1100,29472,28490
1101,167,191
1102,167,28490
1103,65423,191
1104,65423,28490
1105,183,191
1106,183,28490
1107,28480,191
1108,28480,28490
1109,204,191
1110,204,28490
1111,28500,191
1112,28500,28490
1113,205,191
1114,205,28490
1115,28503,191
1116,28503,28490
1117,1,192
1118,1,28637
1119,418,192
1120,418,28637
1121,27606,192
1122,27606,28637
1123,166,192
1124,166,28637
1125,29336,192
1126,29336,28637
1127,182,192
1128,182,28637
1129,28364,192
1130,28364,28637
1131,263,192
1132,263,28637
1133,28307,192
1134,28307,28637
1135,1,3
1136,1,193
1137,1,28384
1138,418,3
1139,418,193
1140,418,28384
1141,27606,3
1142,27606,193
1143,27606,28384
1144,4,3
1145,4,193
1146,4,28384
1147,169,3
1148,169,193
1149,169,28384
1150,29348,3
1151,29348,193
1152,29348,28384
1153,162,3
1154,162,193
1155,162,28384
1156,29327,3
1157,29327,193
1158,29327,28384
1159,166,3
1160,166,193
1161,166,28384
1162,29336,3
1163,29336,193
1164,29336,28384
1165,182,3
1166,182,193
1167,182,28384
1168,28364,3
1169,28364,193
1170,28364,28384
1171,263,3
1172,263,193
1173,263,28384
1174,28307,3
1175,28307,193
1176,28307,28384
1177,274,3
1178,274,193
1179,274,28384
1180,29343,3
1181,29343,193
1182,29343,28384
1183,325,3
1184,325,193
1185,325,28384
1186,28377,3
1187,28377,193
1188,28377,28384
1189,384,3
1190,384,193
1191,384,28384
1192,385,3
1193,385,193
1194,385,28384
1195,29283,3
1196,29283,193
1197,29283,28384
1198,386,3
1199,386,193
1200,386,28384
1201,387,3
1202,387,193
1203,387,28384
1204,62940,3
1205,62940,193
1206,62940,28384
1207,388,3
1208,388,193
1209,388,28384
1210,62964,3
1211,62964,193
1212,62964,28384
1213,389,3
1214,389,193
1215,389,28384
1216,390,3
1217,390,193
1218,390,28384
1219,64726,3
1220,64726,193
1221,64726,28384
1222,392,3
1223,392,193
1224,392,28384
1225,65028,3
1226,65028,193
1227,65028,28384
1228,393,3
1229,393,193
1230,393,28384
1231,59603,3
1232,59603,193
1233,59603,28384
1234,394,3
1235,394,193
1236,394,28384
1237,63155,3
1238,63155,193
1239,63155,28384
1240,395,3
1241,395,193
1242,395,28384
1243,62292,3
1244,62292,193
1245,62292,28384
1246,396,3
1247,396,193
1248,396,28384
1249,65514,3
1250,65514,193
1251,65514,28384
1252,397,3
1253,397,193
1254,397,28384
1255,64992,3
1256,64992,193
1257,64992,28384
1258,398,3
1259,398,193
1260,398,28384
1261,63166,3
1262,63166,193
1263,63166,28384
1264,399,3
1265,399,193
1266,399,28384
1267,62294,3
1268,62294,193
1269,62294,28384
1270,400,3
1271,400,193
1272,400,28384
1273,62296,3
1274,62296,193
1275,62296,28384
1276,401,3
1277,401,193
1278,401,28384
1279,28260,3
1280,28260,193
1281,28260,28384
1282,402,3
1283,402,193
1284,402,28384
1285,64491,3
1286,64491,193
1287,64491,28384
1288,403,3
1289,403,193
1290,403,28384
1291,62711,3
1292,62711,193
1293,62711,28384
1294,404,3
1295,404,193
1296,404,28384
1297,64492,3
1298,64492,193
1299,64492,28384
1300,405,3
1301,405,193
1302,405,28384
1303,33552,3
1304,33552,193
1305,33552,28384
1306,419,3
1307,419,193
1308,419,28384
1309,64350,3
1310,64350,193
1311,64350,28384
1312,421,3
1313,421,193
1314,421,28384
1315,62342,3
1316,62342,193
1317,62342,28384
1318,422,3
1319,422,193
1320,422,28384
1321,29331,3
1322,29331,193
1323,29331,28384
1324,423,3
1325,423,193
1326,423,28384
1327,34427,3
1328,34427,193
1329,34427,28384
1330,424,3
1331,424,193
1332,424,28384
1333,28308,3
1334,28308,193
1335,28308,28384
1336,425,3
1337,425,193
1338,425,28384
1339,65055,3
1340,65055,193
1341,65055,28384
1342,426,3
1343,426,193
1344,426,28384
1345,37487,3
1346,37487,193
1347,37487,28384
1348,437,3
1349,437,193
1350,437,28384
1351,64520,3
1352,64520,193
1353,64520,28384
1354,439,3
1355,439,193
1356,439,28384
1357,64630,3
1358,64630,193
1359,64630,28384
1360,440,3
1361,440,193
1362,440,28384
1363,63358,3
1364,63358,193
1365,63358,28384
1366,441,3
1367,441,193
1368,441,28384
1369,442,3
1370,442,193
1371,442,28384
1372,28348,3
1373,28348,193
1374,28348,28384
1375,443,3
1376,443,193
1377,443,28384
1378,64634,3
1379,64634,193
1380,64634,28384
1381,444,3
1382,444,193
1383,444,28384
1384,453,3
1385,453,193
1386,453,28384
1387,87620,3
1388,87620,193
1389,87620,28384
1390,454,3
1391,454,193
1392,454,28384
1393,64650,3
1394,64650,193
1395,64650,28384
1396,455,3
1397,455,193
1398,455,28384
1399,456,3
1400,456,193
1401,456,28384
1402,28368,3
1403,28368,193
1404,28368,28384
1405,457,3
1406,457,193
1407,457,28384
1408,64653,3
1409,64653,193
1410,64653,28384
1411,459,3
1412,459,193
1413,459,28384
1414,29376,3
1415,29376,193
1416,29376,28384
1417,461,3
1418,461,193
1419,461,28384
1420,63399,3
1421,63399,193
1422,63399,28384
1423,476,3
1424,476,193
1425,476,28384
1426,478,3
1427,478,193
1428,478,28384
1429,40070,3
1430,40070,193
1431,40070,28384
1432,479,3
1433,479,193
1434,479,28384
1435,482,3
1436,482,193
1437,482,28384
1438,1,194
1439,1,28385
1440,418,194
1441,418,28385
1442,27606,194
1443,27606,28385
1444,4,194
1445,4,28385
1446,169,194
1447,169,28385
1448,29348,194
1449,29348,28385
1450,162,194
1451,162,28385
1452,29327,194
1453,29327,28385
1454,166,194
1455,166,28385
1456,29336,194
1457,29336,28385
1458,182,194
1459,182,28385
1460,28364,194
1461,28364,28385
1462,274,194
1463,274,28385
1464,29343,194
1465,29343,28385
1466,401,194
1467,401,28385
1468,28260,194
1469,28260,28385
1470,424,194
1471,424,28385
1472,28308,194
1473,28308,28385
1474,442,194
1475,442,28385
1476,28348,194
1477,28348,28385
1478,456,194
1479,456,28385
1480,28368,194
1481,28368,28385
1482,459,194
1483,459,28385
1484,29376,194
1485,29376,28385
1486,1,195
1487,1,28639
1488,418,195
1489,418,28639
1490,27606,195
1491,27606,28639
1492,4,195
1493,4,28639
1494,169,195
1495,169,28639
1496,29348,195
1497,29348,28639
1498,166,195
1499,166,28639
1500,29336,195
1501,29336,28639
1502,182,195
1503,182,28639
1504,28364,195
1505,28364,28639
1506,226,195
1507,226,28639
1508,22931,195
1509,22931,28639
1510,228,195
1511,228,28639
1512,35200,195
1513,35200,28639
1514,263,195
1515,263,28639
1516,28307,195
1517,28307,28639
1518,273,195
1519,273,28639
1520,35237,195
1521,35237,28639
1522,274,195
1523,274,28639
1524,29343,195
1525,29343,28639
1526,307,195
1527,307,28639
1528,34449,195
1529,34449,28639
1530,325,195
1531,325,28639
1532,28377,195
1533,28377,28639
1534,401,195
1535,401,28639
1536,28260,195
1537,28260,28639
1538,424,195
1539,424,28639
1540,28308,195
1541,28308,28639
1542,442,195
1543,442,28639
1544,28348,195
1545,28348,28639
1546,456,195
1547,456,28639
1548,28368,195
1549,28368,28639
1550,459,195
1551,459,28639
1552,29376,195
1553,29376,28639
1554,478,195
1555,478,28639
1556,40070,195
1557,40070,28639
1558,603,195
1559,603,28639
1560,34454,195
1561,34454,28639
1562,645,195
1563,645,28639
1564,29441,195
1565,29441,28639
1566,713,195
1567,713,28639
1568,35255,195
1569,35255,28639
1570,757,195
1571,757,28639
1572,34459,195
1573,34459,28639
1574,761,195
1575,761,28639
1576,41404,195
1577,41404,28639
1578,1,196
1579,1,28387
1580,418,196
1581,418,28387
1582,27606,196
1583,27606,28387
1584,162,196
1585,162,28387
1586,29327,196
1587,29327,28387
1588,166,196
1589,166,28387
1590,29336,196
1591,29336,28387
1592,182,196
1593,182,28387
1594,28364,196
1595,28364,28387
1596,401,196
1597,401,28387
1598,28260,196
1599,28260,28387
